file,xPath,yRaw_header,yName,stdYName
L245_S1_Wang_2012.xml,PROPERTIES/Electrical/ElectricConductivity/data,Conductivity (S/m),Conductivity,Conductivity
L245_S1_Wang_2012.xml,PROPERTIES/Electrical/CurrentDensity/data,Current (A),Current,Current Density
L245_S2_Wang_2012.xml,PROPERTIES/Electrical/ElectricConductivity/data,Conductivity (S/m),Conductivity,Conductivity
L245_S3_Wang_2012.xml,PROPERTIES/Electrical/ElectricConductivity/data,Conductivity (S/m),Conductivity,Conductivity
L245_S4_Wang_2012.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Dielectric constant,Dielectric constant,Dielectric Real Permittivity
L245_S4_Wang_2012.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Dielectric Loss Factor,Dielectric Loss Factor,
L245_S4_Wang_2012.xml,PROPERTIES/Electrical/ElectricConductivity/data,Conductivity (S/m),Conductivity,Conductivity
L245_S5_Wang_2012.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Dielectric constant,Dielectric constant,Dielectric Real Permittivity
L245_S5_Wang_2012.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Dielectric Loss Factor,Dielectric Loss Factor,
L245_S5_Wang_2012.xml,PROPERTIES/Electrical/ElectricConductivity/data,Conductivity (S/m),Conductivity,Conductivity
L245_S6_Wang_2012.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Dielectric constant,Dielectric constant,Dielectric Real Permittivity
L245_S6_Wang_2012.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Dielctric Loss Factor,Dielctric Loss Factor,
L245_S6_Wang_2012.xml,PROPERTIES/Electrical/ElectricConductivity/data,Conductivity (S/m),Conductivity,Conductivity
L245_S7_Wang_2012.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Dielectric constant,Dielectric constant,Dielectric Real Permittivity
L245_S7_Wang_2012.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Dielectric Loss Factor,Dielectric Loss Factor,
L245_S7_Wang_2012.xml,PROPERTIES/Electrical/ElectricConductivity/data,Conductivity (S/m),Conductivity,Conductivity
L245_S7_Wang_2012.xml,PROPERTIES/Electrical/ElectricConductivity/data,Conductivity (S/m),Conductivity,Conductivity
L245_S7_Wang_2012.xml,PROPERTIES/Electrical/ElectricConductivity/data,Conductivity (S/m),Conductivity,Conductivity
L245_S8_Wang_2012.xml,PROPERTIES/Electrical/ElectricConductivity/data,Conductivity (S/m),Conductivity,Conductivity
L245_S9_Wang_2012.xml,PROPERTIES/Electrical/CurrentDensity/data,Current (A),Current,Current Density
L246_S1_Wu_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Storage Modulus (MPa),Storage Modulus,Storage Modulus
L246_S1_Wu_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,tan delta,tan delta,Tan Delta
L246_S2_Wu_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Storage Modulus (MPa),Storage Modulus,Storage Modulus
L246_S2_Wu_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,tan delta,tan delta,Tan Delta
L246_S3_Wu_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Storage Modulus (MPa),Storage Modulus,Storage Modulus
L246_S3_Wu_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,tan delta,tan delta,Tan Delta
L246_S4_Wu_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Storage Modulus (MPa),Storage Modulus,Storage Modulus
L246_S4_Wu_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,tan delta,tan delta,Tan Delta
L247_S10_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,real part of dielectric constant,real part of dielectric constant,Dielectric Real Permittivity
L247_S10_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,imaginary part of dielectric constant,imaginary part of dielectric constant,Dielectric Loss Permittivity
L247_S10_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,tangent delta,tangent delta,
L247_S10_Huang_2016.xml,PROPERTIES/Electrical/EnergyDensity/data,energy storage density (J/cm^3),Energy storage density,
L247_S11_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,real part of dielectric constant,real part of dielectric constant,Dielectric Real Permittivity
L247_S11_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,imaginary part of dielectric constant,imaginary part of dielectric constant,Dielectric Loss Permittivity
L247_S11_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,tangent delta,tangent delta,
L247_S11_Huang_2016.xml,PROPERTIES/Electrical/EnergyDensity/data,energy storage density (J/cm^3),Energy storage density,
L247_S12_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,real part of dielectric constant,real part of dielectric constant,Dielectric Real Permittivity
L247_S12_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,imaginary part of dielectric constant,imaginary part of dielectric constant,Dielectric Loss Permittivity
L247_S12_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,tangent delta,tangent delta,
L247_S12_Huang_2016.xml,PROPERTIES/Electrical/EnergyDensity/data,energy storage density (J/cm^3),Energy storage density,
L247_S1_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,real part of dielectric constant,real part of dielectric constant,Dielectric Real Permittivity
L247_S1_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,imaginary part of dielectric constant,imaginary part of dielectric constant,Dielectric Loss Permittivity
L247_S2_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,real part of dielectric constant,real part of dielectric constant,Dielectric Real Permittivity
L247_S2_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,imaginary part of dielectric constant,imaginary part of dielectric constant,Dielectric Loss Permittivity
L247_S3_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,real part of dielectric constant,real part of dielectric constant,Dielectric Real Permittivity
L247_S3_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,imaginary part of dielectric constant,imaginary part of dielectric constant,Dielectric Loss Permittivity
L247_S5_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,real part of dielectric constant,real part of dielectric constant,Dielectric Real Permittivity
L247_S5_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,imaginary part of dielectric constant,imaginary part of dielectric constant,Dielectric Loss Permittivity
L247_S6_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,real part of dielectric constant,real part of dielectric constant,Dielectric Real Permittivity
L247_S6_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,imaginary part of dielectric constant,imaginary part of dielectric constant,Dielectric Loss Permittivity
L247_S6_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,tangent delta,tangent delta,
L247_S6_Huang_2016.xml,PROPERTIES/Electrical/EnergyDensity/data,energy storage density (J/cm^3),Energy storage density,
L247_S7_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,real part of dielectric constant,real part of dielectric constant,Dielectric Real Permittivity
L247_S7_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,imaginary part of dielectric constant,imaginary part of dielectric constant,Dielectric Loss Permittivity
L247_S7_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,tangent delta,tangent delta,
L247_S7_Huang_2016.xml,PROPERTIES/Electrical/EnergyDensity/data,energy storage density (J/cm^3),Energy storage density,
L247_S8_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,real part of dielectric constant,real part of dielectric constant,Dielectric Real Permittivity
L247_S8_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,imaginary part of dielectric constant,imaginary part of dielectric constant,Dielectric Loss Permittivity
L247_S8_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,tangent delta,tangent delta,
L247_S8_Huang_2016.xml,PROPERTIES/Electrical/EnergyDensity/data,energy storage density (J/cm^3),Energy storage density,
L247_S9_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,real part of dielectric constant,real part of dielectric constant,Dielectric Real Permittivity
L247_S9_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,imaginary part of dielectric constant,imaginary part of dielectric constant,Dielectric Loss Permittivity
L248_S1_Krentz_2014.xml,PROPERTIES/Electrical/EnergyDensity/data,peak next to the anode (arbitrary unit),Peak next to the anode,
L248_S1_Krentz_2014.xml,PROPERTIES/Electrical/CurrentDensity/data,current (amps),Current,Current Density
L248_S3_Krentz_2014.xml,PROPERTIES/Electrical/EnergyDensity/data,peak next to the anode (arbitrary unit),Peak next to the anode,
L248_S4_Krentz_2014.xml,PROPERTIES/Electrical/EnergyDensity/data,peak next to the anode (arbitrary unit),Peak next to the anode,
L248_S4_Krentz_2014.xml,PROPERTIES/Electrical/CurrentDensity/data,current (amps),Current,Current Density
L249_S10_Travelpiece_2008.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullParameter/data,Probability of Failure (%),Probability of failure,
L249_S1_Travelpiece_2008.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/Profile/data,Probability of Failure (%),Probability of failure,
L249_S1_Travelpiece_2008.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullParameter/data,Probability of Failure (%),Probability of failure,
L249_S1_Travelpiece_2008.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/Profile/data,Probability of Failure (%),Probability of failure,
L249_S2_Travelpiece_2008.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullParameter/data,Probability of Failure (%),Probability of failure,
L249_S3_Travelpiece_2008.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullParameter/data,Probability of Failure (%),Probability of failure,
L249_S3_Travelpiece_2008.xml,PROPERTIES/Electrical/DielectricBreakdownStrength/WeibullParameter/data,Probability of Failure (%),Probability of failure,
